location_coordinates,address,type
"41.942691844, -87.651770507","860-862, West Buckingham Place, Northalsted, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.912431869, -87.670189148","1707-1709, North Paulina Street, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.892042136, -87.63186395","Best Western Plus River North, 125, West Ohio Street, Streeterville, River North, Chicago, Cook County, Illinois, 60654, United States",hotel
"41.941555829, -87.666288887","1501, West School Street, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.892493167, -87.664745836","1462, West Ohio Street, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60642, United States",yes
"41.89830587, -87.653613982","1048, West Chestnut Street, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.975170943, -87.687515515","5139, North Claremont Avenue, Bowmanville, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",yes
"41.901206994, -87.676355989","1939, West Thomas Street, Ukrainian Village, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",apartments
"41.944226601, -87.655998182","1041-1043, West Newport Avenue, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.892072635, -87.628874157","Grand Plaza, 2-6, West Grand Avenue, Streeterville, River North, Chicago, Cook County, Illinois, 60654, United States",apartments
"41.942577185, -87.647078509","701, West Buckingham Place, Northalsted, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",church
"41.899589796, -87.674719134","1000, North Wolcott Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",apartments
"41.906025969, -87.675311622","1935, West Evergreen Avenue, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.9416281, -87.661443368","1242, West School Street, Northalsted, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.921778356, -87.641459759","2156, North Cleveland Avenue, Mid-North District, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.885300022, -87.642808466","156, North Jefferson Street, Fulton River District, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States",yes
"41.891971508, -87.612945414","East Grand Avenue, Near North Side, Chicago, Cook County, Illinois, 60611, United States",secondary
"41.880994471, -87.632746489","Northern Trust Bank, 50, West Arcade Place, Loop, Chicago, Cook County, Illinois, 60603, United States",office
"41.928967266, -87.656156831","2546-2552, North Seminary Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",yes
"41.921647132, -87.689951469","2514, West Palmer Street, Bucktown, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.878865584, -87.625192142","Symphony Center, 220, South Michigan Avenue, Printer's Row, Loop, Chicago, Cook County, Illinois, 60604, United States",theatre
"41.899602111, -87.633308037","Moody Bible Institute, 820, North Wells Street, River North, Chicago, Cook County, Illinois, 60610, United States",college
"41.994442248, -87.665224776","6151-6153, North Glenwood Avenue, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",yes
"41.906650766, -87.66533766","1352, North Greenview Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",yes
"41.952822916, -87.653243992","920-926, West Sheridan Road, Pine Grove, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.936237179, -87.656411531","1056, West Wellington Avenue, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.879255084, -87.642648998","Taco Lulú, 601, West Adams Street, West Loop Gate, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States",restaurant
"41.936159071, -87.661265218","Wellington's Tavern, 1300, West Wellington Avenue, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",pub
"41.88528132, -87.6572332","Twelve01West, 1201, West Lake Street, Fulton Market District, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",apartments
"41.900221297, -87.629105186","Ogden International School, 24, West Walton Street, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60610, United States",school
"41.92276062, -87.699155343","2844, West Lyndale Street, Maplewood, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",yes
"41.949829346, -87.64396537","North Jean Baptiste Point DuSable Lake Shore Drive, Pine Grove, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",motorway
"41.950673358, -87.666536281","1458, West Grace Street, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",yes
"41.890922026, -87.618868355","465, North Park Drive, Streeterville, Near North Side, Chicago, Cook County, Illinois, 60611, United States",apartments
"41.908378669, -87.670945075","1718, West Julian Street, Wicker Park, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",apartments
"41.921778188, -87.651061884","858, West Webster Avenue, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.904935302, -87.649907226","West Scott Street, Near North Side, Chicago, Cook County, Illinois, 60610, United States",parking
"nan, nan",Error,Error
"41.946294536, -87.654298084","AT&T Lakeview Central Office, 3532, North Sheffield Avenue, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",office
"41.942872538, -87.701330291","2925, West Roscoe Street, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
"41.794090253, -87.592310855","5534-5536, South Dorchester Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",residential
"41.966774943, -87.710848208","4705, North Spaulding Avenue, Albany Park, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",detached
"41.89321636, -87.63784421","350-372, West Ontario Street, Near North Side, Chicago, Cook County, Illinois, 60654, United States",commercial
"41.950442599, -87.68350623","3805-3807, North Leavitt Street, Roscoe Village, North Center, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",yes
"41.859349715, -87.617358006","South DuSable Lake Shore Drive, Near South Side, Chicago, Cook County, Illinois, 60605, United States",bridge
"41.936310131, -87.651562592","2943, North Mildred Avenue, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",apartments
"41.972667956, -87.663865496","West Argyle Apartments, 1338-1354, West Argyle Street, Winnemac, Andersonville, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",apartments
"41.89503345, -87.619710672","Northwestern University Chicago Campus, North Saint Clair Street, Magnificent Mile, Near North Side, Chicago, Cook County, Illinois, 60611, United States",university
"41.944813754, -87.69077501","Lane Technical College Prep High School, 2501, West Addison Street, North Center, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",school
"41.900069603, -87.720918238","1037, North Hamlin Avenue, Humboldt Park, Chicago, West Chicago Township, Cook County, Illinois, 60651, United States",yes
"41.892507781, -87.626214906","Rush-Ohio-Wabash Self Park, 50, East Ohio Street, Magnificent Mile, River North, Chicago, Cook County, Illinois, 60611, United States",parking
"41.938391258, -87.63857492","3130, North Lake Shore Drive, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",apartments
"41.926811182, -87.642605247","530, West Arlington Place, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",yes
"41.94258518, -87.656644092","3331, North Seminary Avenue, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.90749193, -87.63576009","211-233, West Schiller Street, Gold Coast, Near North Side, Chicago, Cook County, Illinois, 60610, United States",apartments
"41.949139771, -87.656803909","Cubs Highlander Lot, North Seminary Avenue, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",parking
"41.943155086, -87.640698076","3330, North Lake Shore Drive, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",apartments
"41.934539716, -87.643022804","540-548, West Surf Street, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",apartments
"41.92926299, -87.635890954","2650, North Cannon Drive, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",house
"41.928945904, -87.66089257","1258, West Wrightwood Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",yes
"41.949220914, -87.651970395","3700-3706, North Fremont Street, Northalsted, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.922082541, -87.634156093","Lincoln Park Zoo, 2001, North Clark Street, Belgravia Terrace, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",zoo
"41.943237122, -87.643470956","537-545, West Roscoe Street, Northalsted, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",yes
"41.921854911, -87.646210977","658, West Webster Avenue, Mid-North District, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.929272532, -87.673807238","North Clybourn Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60657, United States",parking
"41.928763006, -87.665676837","2535-2563, North Greenview Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.867902418, -87.642958665","South Desplaines Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",parking
"41.957735565, -87.683718102","4158, North Leavitt Street, North Center, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",yes
"41.922686284, -87.649488729","2227, North Dayton Street, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.870607372, -87.622172937","Grant Bark Park, McCormick Place Busway, South Loop, Loop, Chicago, Cook County, Illinois, 60605, United States",dog_park
"41.942859303, -87.717503858","3365, North Central Park Avenue, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",yes
