company_id,company
1,Flash Cab
2,Yellow Cab
3,Chicago Carriage Cab Corp
4,American United
5,City Service
6,Sun Taxi
7,Medallion Leasin
8,Taxi Affiliation Service Yellow
9,Checker Taxi
10,Taxi Affiliation Services
11,303 Taxi
12,Blue Diamond
13,Globe Taxi
14,Nova Taxi Affiliation Llc
15,Patriot Taxi Dba Peace Taxi Associat
16,24 Seven Taxi
17,Chicago Independents
18,Checker Taxi Affiliation
19,Star North Management LLC
20,Chicago Taxicab
21,Blue Ribbon Taxi Association Inc.
22,5 Star Taxi
23,Norshore Cab
24,Choice Taxi Association
25,"Taxicab Insurance Agency, LLC"
26,Gold Coast Taxi
27,Metro Group
28,Top Cab Affiliation
29,Setare Inc
30,Service Taxi Association
31,Metro Jet Taxi A
32,Chicago Elite Cab Corp.
33,Chicago Elite Cab Corp. (Chicago Carriag
34,KOAM Taxi Association
35,Chicago Medallion Management
36,Leonard Cab Co
37,American United Taxi Affiliation
38,T.A.S. - Payment Only
39,Suburban Dispatch LLC
40,312 Medallion Management Corp
41,Dispatch Taxi Affiliation
42,Peace Taxi Assoc
43,Northwest Management LLC
44,Chicago Star Taxicab
45,3591 - 63480 Chuks Cab
46,3011 - 66308 JBL Cab Inc.
47,1085 - 72312 N and W Cab Co
48,Petani Cab Corp
49,3094 - 24059 G.L.B. Cab Co
50,6743 - 78771 Luhak Corp
51,Park Ridge Taxi and Livery
52,2092 - 61288 Sbeih company
53,6742 - 83735 Tasha ride inc
54,1469 - 64126 Omar Jada
55,6574 - Babylon Express Inc.
56,2733 - 74600 Benny Jona
57,5006 - 39261 Salifu Bawa
58,U Taxicab
59,3623 - 72222 Arrington Enterprises
60,5874 - 73628 Sergey Cab Corp.
61,4623 - 27290 Jay Kim
62,4787 - 56058 Reny Cab Co
63,3620 - 52292 David K. Cab Corp.
64,5062 - 34841 Sam Mestas
65,"3721 - Santamaria Express, Alvaro Santamaria"
66,303 Taxi Waukegan
67,4053 - 40193 Adwar H. Nikola
68,5074 - 54002 Ahzmi Inc
69,3556 - 36214 RC Andrews Cab
70,Taxicab Insurance Agency Llc
71,1247 - Daniel Ayertey
72,Blue Ribbon Taxi Association
73,3141 - Zip Cab
74,Star North Taxi Management Llc
75,1247 - 72807 Daniel Ayertey
76,3897 - Ilie Malec
77,C & D Cab Co Inc
78,6743 - Luhak Corp
79,Koam Taxi Association
80,Top Cab
81,4053 - Adwar H. Nikola
82,1085 - N and W Cab Co
83,3253 - 91138 Gaither Cab Co.
84,5874 - Sergey Cab Corp.
85,2733 - Benny Jona
86,5997 - AW Services Inc.
87,2192 - Zeymane Corp
88,4787 - Reny Cab Co
89,0118 - Godfrey S.Awir
90,3385 - 23210  Eman Cab
91,3201 - CID Cab Co Inc
92,4615 - Tyrone Henderson
93,3152 - 97284 Crystal Abernathy
94,585 - 88805 Valley Cab Co
95,1408 - Donald Barnes
96,0694 - Chinesco Trans Inc
97,5724 - KYVI Cab Inc
98,5776 - Mekonen Cab Company
99,2192 - 73487 Zeymane Corp
100,3385 - Eman Cab
101,3623-Arrington Enterprises
102,5129 - Mengisti Taxi
103,4623 - Jay Kim
104,3319 - C&D Cab Company
105,3620 - David K. Cab Corp.
106,2241 - Manuel Alonso
107,5724 - 72965 KYVI Cab Inc
108,American United Cab Association
109,3897 - 57856 Ilie Malec
